"AI_Agent_Interaction__c","Ai_Agent_Interaction_Step_Type__c","Attribute__c","Demo_Identifier__c","End_Days__c","End_Time__c","Error_Message__c","External_ID__c","Gen_AI_Gateway_Request__c","Gen_AI_Gateway_Response__c","Generation__c","Input_Value__c","Name__c","Output_Value__c","Post_step_Variable__c","Pre_step_Variable__c","Previous_Step__c","Start_Days__c","Start_Time__c","Telemetry_Trace_Span_Id__c"
"a5d1a5a1-afd2-4aaa-a76b-5ed43a1f338f","TOPIC_STEP","","SKYWAVE_PHASE_4_5","-6.0","18:01:02","","537b59e8-090b-4ccb-a69a-d154d103ec81","","","","Whats the weather like in Tokyo?","TOPIC_STEP","I can only help with flight bookings and Skywave loyalty questions.","","","","-6.0","18:01:00","fc2bc6f5-263b-47de-ae91-e967c100b7e2"
"a5d1a5a1-afd2-4aaa-a76b-5ed43a1f338f","LLM_STEP","","SKYWAVE_PHASE_4_5","-6.0","18:01:04","","59afcd28-04a0-44eb-a275-7812925311c3","","","","Whats the weather like in Tokyo?","LLM_STEP","I can only help with flight bookings and Skywave loyalty questions.","","","537b59e8-090b-4ccb-a69a-d154d103ec81","-6.0","18:01:02","fc2bc6f5-263b-47de-ae91-e967c100b7e2"
"7f8e0c6a-cdd1-4c8a-a7ac-26269b25655c","TOPIC_STEP","","SKYWAVE_PHASE_4_5","-6.0","18:01:53","","fe541ddf-539e-4aa1-ac5d-bd659cb09589","","","","This still is not working, I am frustrated.","TOPIC_STEP","I am sorry for the inconvenience. I was unable to resolve this for you.","","","","-6.0","18:01:51","276c310c-c579-4726-a93b-f4ef01c211f6"
"e2074bd2-b8ce-44d9-a24d-8eca827749cd","TOPIC_STEP","","SKYWAVE_PHASE_4_5","-4.0","08:24:02","","5c269736-6785-4e49-a96a-9270a580f3b3","","","","What is my tier status?","TOPIC_STEP","You are Gold tier with 14,200 qualifying points this year.","","","","-4.0","08:24:00","dee7fe03-c648-435a-a22a-be7863244401"
"e2074bd2-b8ce-44d9-a24d-8eca827749cd","LLM_STEP","","SKYWAVE_PHASE_4_5","-4.0","08:24:04","","273ef716-50a6-4932-a074-6769f02542a1","","","","What is my tier status?","LLM_STEP","You are Gold tier with 14,200 qualifying points this year.","","","5c269736-6785-4e49-a96a-9270a580f3b3","-4.0","08:24:02","dee7fe03-c648-435a-a22a-be7863244401"
"75690e61-d8ac-4eb6-a52e-b306ea8573ed","TOPIC_STEP","","SKYWAVE_PHASE_4_5","-4.0","08:26:10","","09513676-0a4a-4e3f-a306-e27b978ea14c","","","","Great, thank you!","TOPIC_STEP","You are welcome. Is there anything else I can help with?","","","","-4.0","08:26:08","6301a3b2-b979-4bcc-a77f-712464bfc09f"
"99344dd8-6b00-4196-a053-d4930fb42516","TOPIC_STEP","","SKYWAVE_PHASE_4_5","-5.0","10:00:02","","74ebe1cf-8a5e-4f0a-a5c2-b3da0c542ee7","","","","I want to change my seat to a window seat","TOPIC_STEP","Sorry, I am unable to change your seat right now. Please try again later.","","","","-5.0","10:00:00","a66ce254-a99d-4a28-abab-c98e779c31a0"
"99344dd8-6b00-4196-a053-d4930fb42516","LLM_STEP","","SKYWAVE_PHASE_4_5","-5.0","10:00:04","","9ef35942-b06d-42e4-aa95-bf981fa68262","","","","I want to change my seat to a window seat","LLM_STEP","Sorry, I am unable to change your seat right now. Please try again later.","","","74ebe1cf-8a5e-4f0a-a5c2-b3da0c542ee7","-5.0","10:00:02","a66ce254-a99d-4a28-abab-c98e779c31a0"
"9ccf136f-b2da-423f-a2b0-d5d369aa1d14","TOPIC_STEP","","SKYWAVE_PHASE_4_5","-5.0","10:00:55","","f9e961bd-6159-49f5-a591-34aef3e4d42b","","","","This still is not working, I am frustrated.","TOPIC_STEP","I am sorry for the inconvenience. I was unable to resolve this for you.","","","","-5.0","10:00:53","597aa515-8bfe-47dd-a840-d714c6a2e1a7"
"c226328e-9622-427e-ac45-ba42fd4e9f20","TOPIC_STEP","","SKYWAVE_PHASE_4_5","-3.0","19:45:02","","a8ca9431-9d40-4a51-a31e-099b783ba333","","","","Find flights from JFK to HND tomorrow","TOPIC_STEP","I found 4 flights for that route. The cheapest is SW1200 at 1pm for $1,280.","","","","-3.0","19:45:00","b90774a5-d747-4e5f-a806-610200988307"
