"AI_Agent_Interaction_Message_Type__c","AI_Agent_Interaction__c","AI_Agent_Session_Participant__c","AI_Agent_Session__c","Ai_Agent_Interaction_Msg_Content_Type__c","Content__c","Demo_Identifier__c","External_ID__c","Individual__c","Message_Sent_Days__c","Message_Sent_Time__c","Parent_Message__c","Session_Owner_Object__c","Session_Owner__c"
"Input","a5d1a5a1-afd2-4aaa-a76b-5ed43a1f338f","ucf1fc74-d2e4-419d-a70d-26ea7e964a84","5cf1fc74-d2e4-419d-a70d-26ea7e964a84","text/plain","Whats the weather like in Tokyo?","SKYWAVE_PHASE_4_5","e7b9e8d8-61b6-4fb8-a0c9-275d2bbb36b5","","-6.0","18:01:00","","",""
"Output","a5d1a5a1-afd2-4aaa-a76b-5ed43a1f338f","acf1fc74-d2e4-419d-a70d-26ea7e964a84","5cf1fc74-d2e4-419d-a70d-26ea7e964a84","text/plain","I can only help with flight bookings and Skywave loyalty questions.","SKYWAVE_PHASE_4_5","0d57341c-0571-42a1-a3a6-b60ce2776bac","","-6.0","18:01:04","","",""
"Input","7f8e0c6a-cdd1-4c8a-a7ac-26269b25655c","ucf1fc74-d2e4-419d-a70d-26ea7e964a84","5cf1fc74-d2e4-419d-a70d-26ea7e964a84","text/plain","This still is not working, I am frustrated.","SKYWAVE_PHASE_4_5","c97e46bf-3626-4d21-a919-9a17419bc24a","","-6.0","18:01:51","","",""
"Output","7f8e0c6a-cdd1-4c8a-a7ac-26269b25655c","acf1fc74-d2e4-419d-a70d-26ea7e964a84","5cf1fc74-d2e4-419d-a70d-26ea7e964a84","text/plain","I am sorry for the inconvenience. I was unable to resolve this for you.","SKYWAVE_PHASE_4_5","00db8a24-f1de-42e6-a4a7-b20d1ec05fc1","","-6.0","18:01:53","","",""
"Input","e2074bd2-b8ce-44d9-a24d-8eca827749cd","u19da89a-c5cd-4fdf-a612-b98d244a5bcb","219da89a-c5cd-4fdf-a612-b98d244a5bcb","text/plain","What is my tier status?","SKYWAVE_PHASE_4_5","16451f80-17e8-4da6-af57-fbe43ee478c4","","-4.0","08:24:00","","",""
"Output","e2074bd2-b8ce-44d9-a24d-8eca827749cd","a19da89a-c5cd-4fdf-a612-b98d244a5bcb","219da89a-c5cd-4fdf-a612-b98d244a5bcb","text/plain","You are Gold tier with 14,200 qualifying points this year.","SKYWAVE_PHASE_4_5","118eb75b-ff91-4147-a571-6df30c792b93","","-4.0","08:24:03","","",""
"Input","75690e61-d8ac-4eb6-a52e-b306ea8573ed","u19da89a-c5cd-4fdf-a612-b98d244a5bcb","219da89a-c5cd-4fdf-a612-b98d244a5bcb","text/plain","Great, thank you!","SKYWAVE_PHASE_4_5","3faae7b6-9586-4e11-aad5-7b55b20dc8e8","","-4.0","08:26:08","","",""
"Output","75690e61-d8ac-4eb6-a52e-b306ea8573ed","a19da89a-c5cd-4fdf-a612-b98d244a5bcb","219da89a-c5cd-4fdf-a612-b98d244a5bcb","text/plain","You are welcome. Is there anything else I can help with?","SKYWAVE_PHASE_4_5","f3b395bd-6d7a-4a0b-a298-5532f802f4e7","","-4.0","08:26:12","","",""
"Input","99344dd8-6b00-4196-a053-d4930fb42516","ua68f314-dc0e-48d1-aed7-44af7c2479c9","9a68f314-dc0e-48d1-aed7-44af7c2479c9","text/plain","I want to change my seat to a window seat","SKYWAVE_PHASE_4_5","fac0c5ff-a59c-4736-af7a-967f32e251f7","","-5.0","10:00:00","","",""
"Output","99344dd8-6b00-4196-a053-d4930fb42516","aa68f314-dc0e-48d1-aed7-44af7c2479c9","9a68f314-dc0e-48d1-aed7-44af7c2479c9","text/plain","Sorry, I am unable to change your seat right now. Please try again later.","SKYWAVE_PHASE_4_5","61fcd2fb-a8e5-4325-a854-c8bd10221549","","-5.0","10:00:04","","",""
"Input","9ccf136f-b2da-423f-a2b0-d5d369aa1d14","ua68f314-dc0e-48d1-aed7-44af7c2479c9","9a68f314-dc0e-48d1-aed7-44af7c2479c9","text/plain","This still is not working, I am frustrated.","SKYWAVE_PHASE_4_5","d767f5a5-ac5c-4306-a1d4-932c5fe5e1fd","","-5.0","10:00:53","","",""
"Output","9ccf136f-b2da-423f-a2b0-d5d369aa1d14","aa68f314-dc0e-48d1-aed7-44af7c2479c9","9a68f314-dc0e-48d1-aed7-44af7c2479c9","text/plain","I am sorry for the inconvenience. I was unable to resolve this for you.","SKYWAVE_PHASE_4_5","3897c2f1-04b1-496f-a9ff-4fae7d815e6c","","-5.0","10:00:57","","",""
"Input","c226328e-9622-427e-ac45-ba42fd4e9f20","udd36b0a-d270-41be-a9ef-93ffb2daaa6b","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","text/plain","Find flights from JFK to HND tomorrow","SKYWAVE_PHASE_4_5","55c2c4a3-609d-4306-a273-1159fa8e63d7","","-3.0","19:45:00","","",""
"Output","c226328e-9622-427e-ac45-ba42fd4e9f20","add36b0a-d270-41be-a9ef-93ffb2daaa6b","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","text/plain","I found 4 flights for that route. The cheapest is SW1200 at 1pm for $1,280.","SKYWAVE_PHASE_4_5","31e6a5fa-aea1-4e12-a517-1d6bf5084a4b","","-3.0","19:45:02","","",""
"Input","980f766b-3c39-474a-a383-3dfee2d7e98f","udd36b0a-d270-41be-a9ef-93ffb2daaa6b","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","text/plain","Great, thank you!","SKYWAVE_PHASE_4_5","661f09bb-f3d5-4efa-a062-6fcda0997d91","","-3.0","19:45:30","","",""
"Output","980f766b-3c39-474a-a383-3dfee2d7e98f","add36b0a-d270-41be-a9ef-93ffb2daaa6b","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","text/plain","You are welcome. Is there anything else I can help with?","SKYWAVE_PHASE_4_5","9de5880a-f601-4693-a5ec-89387b766caf","","-3.0","19:45:32","","",""
"Input","ffac429f-ea59-4b18-a1da-85c009a37b2f","udd36b0a-d270-41be-a9ef-93ffb2daaa6b","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","text/plain","Show me my upcoming bookings","SKYWAVE_PHASE_4_5","ccf3c83e-1f93-46fc-aac8-955b72e363f9","","-3.0","19:46:13","","",""
"Output","ffac429f-ea59-4b18-a1da-85c009a37b2f","add36b0a-d270-41be-a9ef-93ffb2daaa6b","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","text/plain","You have one upcoming booking — LH 1927 BER-MUC-SFO, confirmed.","SKYWAVE_PHASE_4_5","2b5c641b-b6dd-4f28-ae3d-be568eb6aa2e","","-3.0","19:46:15","","",""
"Input","2845e3a9-f275-4c15-a065-f76875a9f374","udd36b0a-d270-41be-a9ef-93ffb2daaa6b","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","text/plain","Great, thank you!","SKYWAVE_PHASE_4_5","5f8e62a3-eba5-4fd8-a6a1-7112e59b3442","","-3.0","19:46:32","","",""
"Output","2845e3a9-f275-4c15-a065-f76875a9f374","add36b0a-d270-41be-a9ef-93ffb2daaa6b","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","text/plain","You are welcome. Is there anything else I can help with?","SKYWAVE_PHASE_4_5","586c2245-3158-47b3-a12b-dddab3a56914","","-3.0","19:46:34","","",""
"Input","dd61101d-630b-41a2-a09e-a13a41883910","udd36b0a-d270-41be-a9ef-93ffb2daaa6b","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","text/plain","I want to select seat 1A for my flight","SKYWAVE_PHASE_4_5","a36cd837-1df6-461f-a019-80f91cc393cf","","-3.0","19:49:54","","",""
"Output","dd61101d-630b-41a2-a09e-a13a41883910","add36b0a-d270-41be-a9ef-93ffb2daaa6b","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","text/plain","I was unable to retrieve the seat map automatically and could not assign the seat.","SKYWAVE_PHASE_4_5","92c289f7-282c-4abb-a3fb-273701895f4f","","-3.0","19:49:56","","",""
"Input","10cb7614-59b4-4faf-a401-7a711f946515","udd36b0a-d270-41be-a9ef-93ffb2daaa6b","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","text/plain","This still is not working, I am frustrated.","SKYWAVE_PHASE_4_5","05cb3781-2b44-46b6-a45e-bd360ae705ae","","-3.0","19:51:10","","",""
"Output","10cb7614-59b4-4faf-a401-7a711f946515","add36b0a-d270-41be-a9ef-93ffb2daaa6b","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","text/plain","I am sorry for the inconvenience. I was unable to resolve this for you.","SKYWAVE_PHASE_4_5","17ccb9b7-2b9f-4fef-ad86-dbac29c4a25b","","-3.0","19:51:12","","",""
"Input","213d38b5-93dc-4863-a754-4b5ef585bd1b","u3013d9c-2301-4a5a-a6cd-274731e8af2e","a3013d9c-2301-4a5a-a6cd-274731e8af2e","text/plain","I want to change my seat to a window seat","SKYWAVE_PHASE_4_5","7f2cdf9b-3a1a-42d5-a8c1-37724dbe7563","","-13.0","14:59:00","","",""
"Output","213d38b5-93dc-4863-a754-4b5ef585bd1b","a3013d9c-2301-4a5a-a6cd-274731e8af2e","a3013d9c-2301-4a5a-a6cd-274731e8af2e","text/plain","Sorry, I am unable to change your seat right now. Please try again later.","SKYWAVE_PHASE_4_5","19f5bf50-8396-44b6-a41e-f88048e73665","","-13.0","14:59:03","","",""
"Input","2149739f-38ec-4b70-acfb-3c3483407cc4","u3013d9c-2301-4a5a-a6cd-274731e8af2e","a3013d9c-2301-4a5a-a6cd-274731e8af2e","text/plain","This still is not working, I am frustrated.","SKYWAVE_PHASE_4_5","d2b41327-4dcb-4ff6-ae1a-a6719f6837d9","","-13.0","14:59:50","","",""
"Output","2149739f-38ec-4b70-acfb-3c3483407cc4","a3013d9c-2301-4a5a-a6cd-274731e8af2e","a3013d9c-2301-4a5a-a6cd-274731e8af2e","text/plain","I am sorry for the inconvenience. I was unable to resolve this for you.","SKYWAVE_PHASE_4_5","9aa674d3-2f70-42e6-a538-9631e44e5e14","","-13.0","14:59:52","","",""
"Input","2fb90de6-f412-4856-a289-2233b8d6db9f","u3013d9c-2301-4a5a-a6cd-274731e8af2e","a3013d9c-2301-4a5a-a6cd-274731e8af2e","text/plain","What is my tier status?","SKYWAVE_PHASE_4_5","1767c22d-94a7-406c-aff1-c8b06c33dcbd","","-13.0","15:00:58","","",""
"Output","2fb90de6-f412-4856-a289-2233b8d6db9f","a3013d9c-2301-4a5a-a6cd-274731e8af2e","a3013d9c-2301-4a5a-a6cd-274731e8af2e","text/plain","You are Gold tier with 14,200 qualifying points this year.","SKYWAVE_PHASE_4_5","d5dd21ef-0b35-4b7e-ac58-4149aee81a74","","-13.0","15:01:01","","",""
"Input","a06d89d5-9e35-4cf8-a526-8f74107f9478","u3013d9c-2301-4a5a-a6cd-274731e8af2e","a3013d9c-2301-4a5a-a6cd-274731e8af2e","text/plain","Great, thank you!","SKYWAVE_PHASE_4_5","dde35389-383c-4fbc-a9a6-ab0458bd480d","","-13.0","15:05:14","","",""
"Output","a06d89d5-9e35-4cf8-a526-8f74107f9478","a3013d9c-2301-4a5a-a6cd-274731e8af2e","a3013d9c-2301-4a5a-a6cd-274731e8af2e","text/plain","You are welcome. Is there anything else I can help with?","SKYWAVE_PHASE_4_5","6948446c-12fb-4da1-ac3b-2d6c1c93b804","","-13.0","15:05:16","","",""
"Input","7cf4928b-4eaf-4795-a4c5-80d53a266824","u2137894-6f0f-4506-ac2b-52fa3776ad99","92137894-6f0f-4506-ac2b-52fa3776ad99","text/plain","Can I move from 23B to an aisle seat?","SKYWAVE_PHASE_4_5","f43fe83e-e613-4de3-a4f0-3ddf10b3460e","","-5.0","10:07:00","","",""
"Output","7cf4928b-4eaf-4795-a4c5-80d53a266824","a2137894-6f0f-4506-ac2b-52fa3776ad99","92137894-6f0f-4506-ac2b-52fa3776ad99","text/plain","I could not update your seat assignment. Please contact a service agent.","SKYWAVE_PHASE_4_5","921bf2ba-b77a-4342-a023-9379b4be3001","","-5.0","10:07:04","","",""
"Input","f8262dea-e5d2-4534-a96e-8733818c4f7f","u2137894-6f0f-4506-ac2b-52fa3776ad99","92137894-6f0f-4506-ac2b-52fa3776ad99","text/plain","This still is not working, I am frustrated.","SKYWAVE_PHASE_4_5","1b8a5594-ea79-44bd-aed4-27237652e2f1","","-5.0","10:07:25","","",""
"Output","f8262dea-e5d2-4534-a96e-8733818c4f7f","a2137894-6f0f-4506-ac2b-52fa3776ad99","92137894-6f0f-4506-ac2b-52fa3776ad99","text/plain","I am sorry for the inconvenience. I was unable to resolve this for you.","SKYWAVE_PHASE_4_5","055c73ee-f4d6-4869-a441-2c0a89c3c2e6","","-5.0","10:07:27","","",""
"Input","0b26a445-d1ee-4d6b-ad92-534f315e696b","u0c20992-72e7-4c38-af22-3c49576d4458","80c20992-72e7-4c38-af22-3c49576d4458","text/plain","How many miles do I have?","SKYWAVE_PHASE_4_5","52a43467-12c2-4936-a692-b3b86e340678","","-7.0","17:20:00","","",""
"Output","0b26a445-d1ee-4d6b-ad92-534f315e696b","a0c20992-72e7-4c38-af22-3c49576d4458","80c20992-72e7-4c38-af22-3c49576d4458","text/plain","You currently have 18,450 SkyWave miles. You are at Premier tier.","SKYWAVE_PHASE_4_5","94a50682-d1f5-44c4-a4ed-c74a2e7bb5b5","","-7.0","17:20:03","","",""
"Input","cdfa1811-409b-482f-afd1-288715a7cb41","u0c20992-72e7-4c38-af22-3c49576d4458","80c20992-72e7-4c38-af22-3c49576d4458","text/plain","Great, thank you!","SKYWAVE_PHASE_4_5","3b1a4c36-b9f6-4700-a4df-6acd3361eec0","","-7.0","17:22:25","","",""
"Output","cdfa1811-409b-482f-afd1-288715a7cb41","a0c20992-72e7-4c38-af22-3c49576d4458","80c20992-72e7-4c38-af22-3c49576d4458","text/plain","You are welcome. Is there anything else I can help with?","SKYWAVE_PHASE_4_5","b6b4458c-9cb4-4a6a-a522-8421ea28038c","","-7.0","17:22:29","","",""
"Input","fdbeef0d-9d9a-498e-a2be-d8d4cb4d861f","u08e224e-6b5e-47fc-a054-a8f16b3a8263","008e224e-6b5e-47fc-a054-a8f16b3a8263","text/plain","What is my tier status?","SKYWAVE_PHASE_4_5","3a5adfb3-69c7-443d-a3ac-85fc434a8e14","","-7.0","18:27:00","","",""
"Output","fdbeef0d-9d9a-498e-a2be-d8d4cb4d861f","a08e224e-6b5e-47fc-a054-a8f16b3a8263","008e224e-6b5e-47fc-a054-a8f16b3a8263","text/plain","You are Gold tier with 14,200 qualifying points this year.","SKYWAVE_PHASE_4_5","5de8c13a-fec2-4663-a0e6-0777e24e299e","","-7.0","18:27:03","","",""
"Input","e1644883-aa3f-48d2-a64a-ab15cd086323","u08e224e-6b5e-47fc-a054-a8f16b3a8263","008e224e-6b5e-47fc-a054-a8f16b3a8263","text/plain","Great, thank you!","SKYWAVE_PHASE_4_5","66505ed9-58ca-4c34-a6d6-1006b4d581a0","","-7.0","18:27:25","","",""
